Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]",7.7759820842729095,4.2018611421054395,3.57412094216747,6.475187231799055,1.2167872919929141,64481,7,3
"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0]",7.7764205020334405,4.150515907673808,3.625904594359633,6.36082002847592,1.2190729043560207,85633,7,3
"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1]",6.085524941417625,4.80742201726566,1.2781029241519652,6.392604883381056,1.250949919361533,14723,8,2
"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]",9.377565220413318,2.8865740082682048,6.490991212145113,6.357797658050768,1.175699703534377,59623,5,5
"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",9.069377088244098,3.275033747043957,5.794343341200141,6.367451148219412,1.2162705074106988,320,6,4
"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]",8.852863462900263,3.735361585132486,5.117501877767777,6.365022326212476,1.2353158054410887,97421,6,4
"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1]",7.679333273489348,4.135586424238869,3.5437468492504793,6.41395140460587,1.288663022605431,695,7,3
"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",8.850705103509132,3.357856163399676,5.492848940109456,6.455488591653224,1.2888078726811472,74196,6,4
"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1]",7.999055166164959,4.340237192463959,3.6588179737010007,6.422232490365856,1.2195509581943904,57594,7,3
"[1, 0, 1, 1, 1, 1, 0, 1, 1, 0]",7.870382645835336,4.1319689867849005,3.738413659050435,6.3639226904099235,1.2352062913201305,1793,7,3
"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",6.766337840270417,5.054705010764869,1.7116328295055476,6.421398257538919,1.2784436287435463,1113,8,2
"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]",8.683583920607587,3.837653285266592,4.845930635340995,6.540743727855964,1.2724537956767226,4530,6,4
"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",8.403115382450787,4.1617252295277485,4.241390152923039,6.455678136630915,1.1522775775839065,21948,7,3
"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",8.263917400170456,4.233714335660189,4.030203064510267,6.512790995894313,1.232022709433259,9569,7,3
"[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]",6.826787658690921,4.948808792390556,1.8779788663003645,6.5143862570701945,1.2657356166971234,48385,8,2
"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",8.343815342325044,4.160181399847245,4.183633942477799,6.493086201811724,1.2859501783855958,49110,7,3
"[1, 0, 1, 1, 1, 1, 1, 1, 0, 1]",7.097078573938638,4.772070882367975,2.3250076915706623,6.434158832047712,1.2131614364547216,82290,8,2
"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",6.538924576342617,4.84170859560015,1.6972159807424667,6.489515755935009,1.2332597674902068,56617,8,2
"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",4.573669281121631,4.995465779429581,-0.4217964983079501,6.516340436860425,1.2956859513092225,15058,9,1
